filename,<SEC-DOCUMENT>,<SEC-HEADER>,ACCESSION NUMBER:,PUBLIC DOCUMENT COUNT:,CONFORMED PERIOD OF REPORT:,FILED AS OF DATE:,COMPANY CONFORMED NAME:,CENTRAL INDEX KEY:,STANDARD INDUSTRIAL CLASSIFICATION:,IRS NUMBER:,STATE OF INCORPORATION:,FISCAL YEAR END:,SEC FILE NUMBER:,FILM NUMBER:,CITY:,STATE:,Total assets,Total shareholders' equity,Total stockholders' equity,Total liabilities,Provision for income taxes,Long-term debt    ,Operating income,Gross profit,Net income,<TOTAL-COSTS>,<TOTAL-REVENUES>,<RECEIVABLES>,<INTEREST-EXPENSE>,<CURRENT-ASSETS>,<CURRENT-LIABILITIES>,<DEPRECIATION>,Cash
00202M107-10-K-19960314.txt,19960315,19960315,0000725457-96-000002,18,19951229,19960314,AMERICAN PRESIDENT COMPANIES LTD,0000725457,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT [4412],942911022,DE,1231,001-08544,96534958,OAKLAND,CA,"1,878,783   $1,663,957",,"469,170      541,383",,,"685,954 ","68,373       123,148      132,940",,"30,297    $   74,198   $   80,109","2,702,342<F2>","2,895,982","245,490<F1>","38,318","502,338","437,188","961,971","76,564     $ 39,754"
002067106-10-K-19960529.txt,19960530,19960530,0000828828-96-000003,1,19960229,19960529,ATC ENVIRONMENTAL INC,0000828828,SERVICES-TESTING LABORATORIES [8734],460399408,DE,0228,001-10583,96574014,NEW YORK,NY,,,,,,,,,,,,,,,,,"1,377,862   $ 13,469,443"
00209C102-10-K-19960513.txt,19981231,19981231,0000720480-96-000006,16,19960229,19960513,STAFF BUILDERS INC /DE/,0000720480,8082,112650500,DE,0228,000-11380,96561620,36. The electricity from the Demised Premises will,NJ,,,"55,310    52,351",,8 ,,,,"2,014       $  4,735     $  3,364",256719,410160,52957,948,67613,55606,4751,"8,710  $  4,508"
002564102-10-K-19960313.txt,19960314,19960314,0000845779-96-000002,5,19951231,19960313,ABATIX ENVIRONMENTAL CORP,0000845779,"WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES [5080]",751908110,DE,1231,001-10184,96534248,DALLAS,TX,,,"4,317,778    3,900,836","4,659,153 ",,,,"7,977,387     7,163,765     5,354,045","1997, and maintain minimum net income levels through 1997.","19,654,858","27,632,245","4,370,595","248,255<F4>","8,229,644<F1>","4,659,153","887,122)","415,867   $  150,727"
003654100-10-K-19960624.txt,19960625,19960625,0000950109-96-004013,3,19960331,19960624,ABIOMED INC,0000815094,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH [8731],042743260,DE,0331,001-09585,96584342,DANVERS,MA,,,,,,,,,"1,982,528)   $  (352,184)   $   491,124","7,139,530","12,843,610","2,606,289","527,874)","14,999,523","2,264,924","2,331,145","1)                 $   614,091     $ 2,938,332"
003712304-10-K-19960213.txt,19960216,19960216,0000950144-96-000449,5,19951031,19960213,ABLE TELCOM HOLDING CORP,0000826411,ELECTRICAL WORK [1731],650013218,FL,1031,000-21986,96517752,WEST PALM BEACH,FL,"32,482,216    $   36,603,672","17,466,511                      15,832,456",,"14,207,750 ",,"2,222,369 ",,,"4,557,792      4,557,792","27,719,750","35,407,581","11,065,038","1,117,932","18,572,647","11,174,750","2,451,817","2,952,239    $    3,432,349"
004308102-10-K-19960412.txt,19960416,19960416,0000074783-96-000019,6,19951231,19960412,ACCEPTANCE INSURANCE COMPANIES INC,0000074783,FINANCE SERVICES [6199],310742926,DE,1231,001-07461,96546716,OMAHA,NE,,,,,,,,,,,,,,,,,
004325205-10-K-19961217.txt,19961218,19961218,0000889812-96-001929,6,19960831,19961217,ACCLAIM ENTERTAINMENT INC,0000804888,SERVICES-PREPACKAGED SOFTWARE [7372],382698904,DE,0831,000-16986,96681770,OYSTER BAY,NY,,,,,,,,,,,,,,,,,"18,814   $  44,749"
004334108-10-K-19961230.txt,19961231,19961231,0000950005-96-000995,6,19960930,19961230,ACCOM INC,0000949335,PHOTOGRAPHIC EQUIPMENT & SUPPLIES [3861],943055907,DE,1231,000-26620,96688011,MENLO PARK,CA,,,,,,,,,,,,,,,,,"4,221    $  8,769"
004403101-10-K-19960927.txt,19960930,19960930,0000930661-96-001278,5,19960630,19960927,ACE CASH EXPRESS INC/TX,0000849116,"FUNCTIONS RELATED TO DEPOSITORY BANKING, NEC [6099]",752142963,TX,0630,000-20774,96635643,IRVING,TX,,,,,the ,,,,"3,326       $ 1,990      $ 2,249","61,553                  44,593","68,959                  47,790","4,891                   1,633","1,714                     103","63,906                  52,942","69,376                  55,684","12,325                   9,219",
004527107-10-K-19960325.txt,19960326,19960326,0000912057-96-005009,7,19951231,19960325,ACKERLEY COMMUNICATIONS INC,0000319120,SERVICES-ADVERTISING [7310],911043807,DE,1231,001-10321,96537750,SEATTLE,WA,,,,,,,,,,,,,,,,,"6,421    $   2,288"
004816104-10-K-19960329.txt,19960401,19960401,0000002098-96-000003,2,19951231,19960329,ACME UNITED CORP,0000002098,"CUTLERY, HANDTOOLS & GENERAL HARDWARE [3420]",060236700,CT,1231,001-07698,96540681,FAIRFIELD,CT,,,,,,,,,,,,,,,,,"531,773    $      450,480"
004930202-10-K-19960708.txt,19960725,19960725,0000718877-96-000011,2,19960331,19960708,ACTIVISION INC /NY,0000718877,7372,942606438,CA,0331,000-12699,96591845,LOS ANGELES,CA,,,,,,,,,,,,,,,,,"25,288       $37,355"
004936100-10-K-19960930.txt,19961001,19961001,0000912057-96-021574,8,19960630,19960930,ACRES GAMING INC,0000912601,"COMPUTER PERIPHERAL EQUIPMENT, NEC [3577]",880206560,NV,0630,000-22498,96637336,CORVALLIS,OR,"99            692          6,301          6,264          7,631",,"3,987,000      4,962,000",,,,,"46            291            851          1,436          3,355","30, 1996, the Company had net income of $439,000 ($0.06 per share),","5,020,000","6,942,000","910,000","24,000)","6,196,000","3,644,000","1,329,000)","2,500,000    $ 1,325,000"
004938106-10-K-19960701.txt,19960702,19960702,0000912057-96-013578,10,19960331,19960701,ACTIVE VOICE CORP,0000869554,TELEPHONE & TELEGRAPH APPARATUS [3661],911235111,WA,0331,000-22804,96589440,SEATTLE,WA,"37,399,712            $28,697,572",,"31,796,656             25,449,526","37,399,712 ",,,"6,871,079           6,844,565           4,984,203","28,120,091          24,010,635          18,893,590","5,161,914          $5,109,725          $3,579,147","17,018","45,138","9,993",0,"26,515","5,603","2,572","3,389,760           $    649,553"
005313200-10-K-19961227.txt,19961231,19961231,0001012870-96-000872,12,19960929,19961227,ADAC LABORATORIES,0000313798,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS [3844],941725806,CA,0930,000-09428,96687288,MILPITAS,CA,"186,628           $159,097",,,"87,157 ","25,912 ",,"29,319        18,225        17,637","93,152        67,489        69,615","16,637      $ 11,073      $ 17,521","147,633","240,785","82,800","3,201","134,832","80,512","15,102","3,081           $  7,551"
006516108-10-K-19960401.txt,19960402,19960402,0000950131-96-001379,8,19951231,19960401,ADDINGTON RESOURCES INC,0000810665,BITUMINOUS COAL & LIGNITE SURFACE MINING [1221],611125039,DE,1231,000-16498,96542596,ASHLAND,KY,,,,,,,,,,,,,,,,,"3,387          $  2,719"
006848105-10-K-19960628.txt,19960701,19960701,0000796486-96-000013,5,19960331,19960628,ADELPHIA COMMUNICATIONS CORP,0000796486,CABLE & OTHER PAY TELEVISION SERVICES [4841],232417713,DE,0331,000-16014,96588411,COUDERSPORT,PA,"925,791      949,593    1,073,846    1,267,291    1,333,923",,"1,011,575)   (1,128,239)","2,278,866 ","31, ","368,263 ",,,,"308,804","403,597","25,019","210,691",0,0,"489,962",
00724F101-10-K-19960222.txt,19960223,19960223,0000912057-96-002896,9,19951201,19960222,ADOBE SYSTEMS INC,0000796343,SERVICES-PREPACKAGED SOFTWARE [7372],770019522,CA,1130,000-15175,96524043,MOUNTAIN VIEW,CA,"12 percent as of November 25, 1994, and total","698,417       514,315",,, ,,"134,571         42,514         58,534",,"36,144       35,245       33,886      (11,790)      93,485","130,301","762,339","136,906",0,"692,787","186,315","104,235","58,493    $  204,120"
00753T105-10-K-19960701.txt,19960702,19960702,0000814580-96-000003,2,19960331,19960701,ADVANCED MARKETING SERVICES INC,0000814580,WHOLESALE-MISCELLANEOUS NONDURABLE GOODS [5190],953768341,DE,0331,000-16002,96589744,SAN DIEGO,CA,,,,,,,,,,,,,,,,,
00760G104-10-K-19960910.txt,19960911,19960911,0000932278-96-000003,24,19960630,19960910,AEGIS CONSUMER FUNDING GROUP INC,0000932278,PERSONAL CREDIT INSTITUTIONS [6141],223008867,DE,0630,000-25714,96627769,JERSEY CIRY,NJ,,,,,,,,,,,,,,,,,
007948102-10-K-19961230.txt,19961231,19961231,0000861289-96-000034,4,19960930,19961230,ADVANCED LOGIC RESEARCH INC,0000861289,ELECTRONIC COMPUTERS [3571],330084573,DE,0930,000-18753,96687366,IRVINE,CA,,,,,,,,,,,,,,,,,"60,272    $    46,580"
008015307-10-K-19960514.txt,19960515,19960515,0000949459-96-000025,2,19960131,19960514,AEROSONIC CORP /DE/,0000109471,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL SYS [3812]",741668471,DE,0131,001-11750,96564394,CLEARWATER,FL,,,,,,,,,,,,,,,,,10             $       573
008488108-10-K-19960919.txt,19960921,19960921,0000811210-96-000007,5,19960630,19960919,AGOURON PHARMACEUTICALS INC,0000811210,PHARMACEUTICAL PREPARATIONS [2834],330061928,CA,0630,000-15609,96631977,LA JOLLA,CA,,,,,,,,,,,,,,,,,
008677106-10-K-19960327.txt,19960328,19960328,0000898430-96-000990,15,19951231,19960327,AHMANSON H F & CO /DE/,0000771667,"SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035]",950479700,DE,1231,001-08930,96538862,IRWINDALE,CA,2%. Tier,,"3,056,922    2,964,601",3% ,,,,,1) 100% of its net income to date during the calendar year,,,,"2,472,336",,,,
009104100-10-K-19960329.txt,19960401,19960401,0000700674-96-000005,2,19951231,19960329,AIR EXPRESS INTERNATIONAL CORP /DE/,0000700674,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO [4731],362074327,DE,1231,001-08306,96541995,DARIEN,CT,,,,,,,,,,,,,,,,,
009128307-10-K-19960328.txt,19960329,19960329,0000932384-96-000058,3,19951231,19960328,AIR METHODS CORP,0000816159,"AIR TRANSPORTATION, NONSCHEDULED [4522]",840915893,DE,1231,000-16079,96539988,ENGLEWOOD,CO,"42,586     48,134           51,900      43,312      27,835",,"19,062         18,031","23,524 ",,582 ,"2,001           (983)        (6,187)          542",,"959       (1,855)     (7,257)       (261)     (2,599)       (893)      (5,698)",28121,30122,1508,1107<F2>,6557,7195,7138),"2,699             696"
009293101-10-K-19960329.txt,19960401,19960401,0000927356-96-000134,5,19951231,19960329,AIRCOA HOTEL PARTNERS L P,0000812591,HOTELS & MOTELS [7011],841042607,DE,1231,001-09563,96541679,ENGLEWOOD,CO,,,,,,,,,,,,,,,,,"2,116           1,261"
009704404-10-K-19960401.txt,19960402,19960402,0000854858-96-000003,2,19951231,19960401,AJAY SPORTS INC,0000854858,[3949],391644025,DE,1231,000-18204,96542421,DELAVAN,WI,,,,,,,,,,,,,,,,,362   $    105
009728106-10-K-19960930.txt,19961001,19961001,0000906280-96-000094,20,19960630,19960930,AKORN INC,0000003116,PHARMACEUTICAL PREPARATIONS [2834],720717400,LA,0630,000-13976,96636798,ABITA SPRINGS,LA,,,,,,,,,,,,,,,,,891             $     775
011612603-10-K-19960927.txt,19960930,19960930,0000098618-96-000020,4,19960630,19960927,ALANCO ENVIRONMENTAL RESOURCES CORP,0000098618,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFYING EQUIP [3564],860220694,AZ,0630,000-09347,96635332,SCOTTSDALE,AZ,,"18,970,907        18,600,816",,,"3,528,353) ",,,,,"8,282,612","4,962,948","1,973,621","101,763","3,841,374","809,761","737,966","565,199   $       607,411"
013742507-10-K-19960819.txt,19960820,19960820,0000912057-96-018307,3,19960531,19960819,ALCIDE CORP,0000708484,AGRICULTURE CHEMICALS [2870],222445061,DE,0531,000-12395,96617807,REDMOND,WA,"11,910,992         $13,768,614","10,463,555          12,060,954",,"1,186,415 ","1,870,390 ",,"1,697,471        2,269,381        3,207,192",,"1,066,124       $1,663,213       $2,325,062","7,938,634","11,464,503","2,585,427",0,"10,038,003","1,458,280","86,582)","2,770,157         $ 5,365,895"
014477103-10-K-19960401.txt,19960402,19960402,0000912057-96-005735,10,19951231,19960401,IMCO RECYCLING INC,0000202890,SECONDARY SMELTING & REFINING OF NONFERROUS METALS [3341],752008280,DE,1231,001-07170,96542587,IRVING,TX,5% of the total assets in any separate account providing funds,,,iabilities ,"20,363 ","2,169 ",,"30,939       22,638       16,764",4) quarters: (i) net income,"110,228","141,167","27,442","1,073","47,917","19,919","32,989)","8,678   $ 2,854"
014617203-10-K-19960514.txt,19960515,19960515,0000950134-96-002045,20,19951231,19960514,ALEXANDER ENERGY CORP,0000355143,CRUDE PETROLEUM & NATURAL GAS [1311],731088777,OK,1231,001-11461,96563545,OKLAHOMA CITY,OK,,,"34,224,543       30,628,442",,,,,,65%,"25,814,655","19,611,728","4,192,891","3,960,743","6,172,963","12,667,989","49,863,075","792,752    $   1,451,983"
016251100-10-K-19960701.txt,19981229,19981229,0000892569-96-001107,7,19960331,19960701,ALIGN RITE INTERNATIONAL INC,0000945122,3231,,CA,0331,000-26240,96588979,BURBANK,CA,"30,421,592     $17,260,554","25,284,559       5,976,660",,"30,421,592 ",,,,"12,601,035       9,517,308       6,383,785","4,964,264     $ 3,423,569     $ 1,729,130","5,338,000              20,688,947","8,985,000              33,289,982","6,092,881               6,092,881","28,000                 113,126","21,892,727              21,892,727","4,638,526               4,638,526","14,732,284              14,732,284","12,706,957     $ 3,861,116"
01642T108-10-K-19960701.txt,19960702,19960702,0000950109-96-004201,14,19960331,19960701,ALKERMES INC,0000874663,PHARMACEUTICAL PREPARATIONS [2834],232472830,PA,0331,000-19267,96589648,CAMBRIDGE,MA,,"23,512,551    21,162,749",,,,"4,500,000 ",,,,"18,955","15,919",0,"1,044","34,332","6,448","5,098)","445,150   $ 1,086,627"
016480204-10-K-19960401.txt,19960402,19960402,0000950148-96-000529,4,19951231,19960401,ALL AMERICAN COMMUNICATIONS INC,0000783265,SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION [7812],953803222,DE,1231,000-14333,96542567,SANTA MONICA,CA,"301,582     $   208,007",,"68,280                28,083","233,302 ",9 ,,,,"7,248               455               380","204,669","228,760","118,561","9,959",0,0,"3,709",
016557407-10-K-19960401.txt,19960402,19960402,0000950170-96-000096,10,19951231,19960401,ALL AMERICAN SEMICONDUCTOR INC,0000818074,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC [5065]",592814714,DE,1231,000-16207,96542803,MIAMI,FL,,,,,"1,337,000) ",,,"39,866,000            26,453,000          18,500,000","1,886,000  $            352,000  $        1,702,000","140,928","180,794","36,022","2,739","104,799","45,447","2,859","276,000    $        200,000"
016752107-10-K-19960401.txt,19960402,19960402,0000003642-96-000005,2,19951231,19960401,ALLCITY INSURANCE CO /NY/,0000003642,"FIRE, MARINE & CASUALTY INSURANCE [6331]",132530665,NY,1231,001-07411,96542125,NEW YORK,NY,,,,,,,,,,,,,,,,,
01747F102-10-K-19960405.txt,19960408,19960408,0000807522-96-000005,2,19951231,19960405,ALLEGIANCE BANC CORPORATION,0000807522,STATE COMMERCIAL BANKS [6022],521494123,DE,1231,000-16706,96544772,BETHESDA,MD,,,,,,,,,,,,,,,,,
01852J105-10-K-19961220.txt,19961223,19961223,0000928385-96-001691,2,19960930,19961220,HINSDALE FINANCIAL CORPORATION,0000885638,"SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035]",363811768,DE,0930,000-20082,96683681,HINSDALE,IL,,,,,,,,,,,,,,,,,
018772103-10-K-19960923.txt,19960924,19960924,0000939930-96-000009,7,19960630,19960923,DIMON INC,0000939930,WHOLESALE-FARM PRODUCT RAW MATERIALS [5150],541746567,VA,0630,001-13684,96633034,DANVILLE,VA,100 largest commercial banks in terms of total assets;,,,,,,"114,411      23,067        29,762","8,771         9,953      22,506",,"1,904,992","2,167,473","190,898","46,924","668,775","246,433","86,426)","1,328       $  1,879          $ 12,254        $    26,865 d    $"
018773309-10-K-19960916.txt,19960917,19960917,0000912057-96-020385,3,19960630,19960916,ALLIANCE PHARMACEUTICAL CORP,0000736994,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES [2835],141644018,NY,0630,000-12950,96630545,SAN DIEGO,CA,,,"101,467,000          50,077,000",,,,,,,0,"17,323,000",0,0,"78,954,000","5,710,000","7,816,000","9,480,000    $     12,519,000"
01912P109-10-K-19961113.txt,19961121,19961121,0001005477-96-000452,21,19960731,19961113,ALLIED DIGITAL TECHNOLOGIES CORP,0000933151,3652,383191597,DE,0731,001-13580,96662643,DETROIT,MI,,,,,,,,,,,,,,,,,"830,723   $    559,411"
019220102-10-K-19960312.txt,19960314,19960314,0000774624-96-000005,12,19951231,19960312,ALLIED GROUP INC,0000774624,"FIRE, MARINE & CASUALTY INSURANCE [6331]",420958655,IA,1231,000-14243,96533708,DES MOINES,IA,,,,,,,,,,,,,,,,,
019782101-10-K-19960628.txt,19960701,19960701,0000910680-96-000167,10,19960331,19960628,ALLOU HEALTH & BEAUTY CARE INC,0000846538,WHOLESALE-DRUGS PROPRIETARIES & DRUGGISTS' SUNDRIES [5122],112953972,DE,0331,001-10340,96588745,BRENTWOOD,,"126,184,705   $106,213,963",,"44,168,396     40,176,210","82,016,309 ",10) ,,,"31,587,786     28,636,385     24,147,220","3,756,686   $  4,681,301   $  3,738,289",0,"273,322,102","34,337,720","5,524,543","119,013,273","81,456,497","2,485,297",
020047106-10-K-19961126.txt,19961202,19961202,0000950129-96-003189,23,19960831,19961126,ALLWASTE INC,0000804742,SANITARY SERVICES [4950],742427167,DE,0831,001-11016,96672858,HOUSTON,TX,,,,,,,,,,,,,,,,,"2,436    $   4,029"
020409108-10-K-19960701.txt,19960702,19960702,0000799231-96-000003,3,19960331,19960701,CARETENDERS HEALTH CORP,0000799231,SERVICES-HOME HEALTH CARE SERVICES [8082],061153720,DE,0331,001-09848,96589629,LOUISVILLE,KY,,,"18,903,902  17,328,619","14,312,932 ","135,000 ",,,"3,392    3,682    3,821    3,574     2,843    3,200    3,094    3,468","1,575,283  $1,247,662    $627,171","60,894","63,227","20,082",623,"1,977","7,508","6,851","1,561,041 $ 1,264,775"
020813101-10-K-19960322.txt,19960325,19960325,0000730469-96-000001,9,19951231,19960322,A L PHARMA INC,0000730469,PHARMACEUTICAL PREPARATIONS [2834],222095212,DE,1231,001-08593,96537584,FORT LEE,NJ,,,,,,,,,,,,,,,,,"18,351      $ 15,512"
020825600-10-K-19960729.txt,19960730,19960730,0000912057-96-015712,10,19960430,19960729,ALPINE GROUP INC /DE/,0000004164,DRAWING AND INSULATING NONFERROUS WIRE [3357],221620387,DE,0430,001-09078,96600531,NEW YORK,NY,"233,778  $ 354,904",,"44,658     43,136","233,778 ",68) ,,"2,200)     6,996     32,522","12,260     29,010     70,328",,"453,785","524,113","61,176","27,795","146,342","95,663","16,450",4  $        11
020837100-10-K-19960328.txt,19960329,19960329,0000791714-96-000001,2,19951231,19960328,ALPINE LACE BRANDS INC,0000791714,WHOLESALE-GROCERIES & RELATED PRODUCTS [5140],222717823,DE,1231,001-13658,96539723,MAPLEWOOD,NJ,26276701 $ 28936515 $ 38056602,,,,,,,"35,823,401      32,834,857       36,099,834",,"139,690,842","145,043,395","13,111,382","995,649","20,422,667","15,363,586","1,422,968","7) .........   $   459,610   $   438,414"
021271101-10-K-19960329.txt,19960401,19960401,0000090350-96-000005,4,19951231,19960329,ALTA GOLD CO/NV/,0000090350,GOLD & SILVER ORES [1040],870259249,NV,1231,000-02274,96541055,HENDERSON,NV,"40,399       $ 38,455",,"30,388         23,938","10,011 ", ,"2,920 ",,,"5,889    $   2,804  $  (5,071)","15,396","20,636",110,645,"4,821","5,133","8,049",369        $   471
022092100-10-K-19960321.txt,19960322,19960322,0000950109-96-001682,3,19951230,19960321,ALTRON INC,0000741339,PRINTED CIRCUIT BOARDS [3672],042464301,MA,1231,000-13230,96536964,WILMINGTON,MA,,,,,"24,263 ",,,"34,009       23,041      16,386","14,558 $      8,450 $     5,160","120,562","143,867","23,462",359,"74,727","22,450","26,717","13,622 $ 8,306"
023115108-10-K-19961023.txt,19961205,19961205,0000912057-96-023465,6,19960727,19961023,AMATI COMMUNICATIONS CORP,0000065745,3576,941675494,DE,0731,000-04187,96646456,SAN JOSE,CA,"12,111   $ 6,241",,"10,226     1,680","12,111 ",530 ,,,"1,315        $1,192       $1,169     $1,648","503     $  1,836    $(34,078)",7404,12085,1554,21,5182,4267,3096,"1,066   $   886"
023120108-10-K-19960329.txt,19960401,19960401,0000932384-96-000061,12,19951231,19960329,AMAX GOLD INC,0000814577,GOLD & SILVER ORES [1040],061199974,DE,1231,001-09620,96540636,ENGLEWOOD,CO,611.1             $ 403.2,296.3               245.5,,314.8 ,,7.3 ,,,,"113,800","96,600",0,"4,400<F1>","65,200","42,800","265,100)",
02341W103-10-K-19960328.txt,19960329,19960329,0000813621-96-000010,11,19951231,19960328,AMCOL INTERNATIONAL CORP,0000813621,"MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS) [1400]",360724340,DE,1231,000-15661,96540382,ARLINGTON HEIGHTS,IL,,,,,,,,,,,,,,,,,"1,888   $  10,389"
023559206-10-K-19961127.txt,19961202,19961202,0000912057-96-027869,2,19960630,19961127,AMERALIA INC,0000811419,"MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS) [1400]",870403973,UT,0630,000-15474,96673860,COLORADO SPRINGS,CO,"3,608    $2,985",,"2,118     1,432","1,490 ",,,,,"751)       $(1,007)       $ (569)",0,60,211,124),232,1481,42,
023586100-10-K-19960628.txt,19960701,19960701,0000004457-96-000044,4,19960331,19960628,AMERCO /NV/,0000004457,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],880106815,NV,0331,001-11255,96588147,RENO,NV,"2,827,978      2,605,989      2,344,442      2,024,023      1,979,324",,"649,548     686,784",,,,,,,"1,017,485","1,294,423","340,564<F1>","67,558",0<F2>,0<F2>,"1,102,731",
